127.0.0.1 - - [28/Sep/2020:07:09:55 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:22 +0900] "GET /mypage.do HTTP/1.1" 500 3758
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:26 +0900] "GET /mypage.do HTTP/1.1" 500 3758
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:38 +0900] "GET /logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:39 +0900] "GET /login.do HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:48 +0900] "POST /loginCheck.do HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:48 +0900] "GET /resources/smarteditor2/js/HuskyEZCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:48 +0900] "GET /resources/js/smarteditor2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:51 +0900] "GET /mypage.do HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:51 +0900] "GET /resources/img/recipe/img_153.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:51 +0900] "GET /resources/img/recipe/img_125.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:51 +0900] "GET /resources/img/recipe/img_87.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:51 +0900] "GET /resources/img/recipe/img_289.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:51 +0900] "GET /resources/img/recipe/img_37.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2020:23:40:55 +0900] "GET /detail.do?recipeTbNo=125 HTTP/1.1" 200 8457
